Date,Net_Worth,Regime,Confidence,Action,Agent_0_Act,Agent_1_Act,Agent_2_Act
2023-01-13,7293.390634205562,1,0.99,0.9909510099887848,1.0,1.0,-0.809798002243042
2023-01-17,7179.279725158178,0,0.99,0.9904564267396927,1.0,1.0,-0.9087146520614624
2023-01-18,7127.508554173396,0,0.99,0.9913587027788162,1.0,1.0,-0.7282594442367554
2023-01-19,7245.9924540955135,2,0.99,-0.8533507895469665,1.0,1.0,-0.8720715045928955
2023-01-20,7171.711134022219,2,0.99,-0.8657168674468994,1.0,1.0,-0.8845624923706055
2023-01-23,7165.057085190651,1,0.99,0.991321197450161,1.0,1.0,-0.735760509967804
2023-01-24,7167.714141161338,1,0.99,0.9906606251001357,1.0,1.0,-0.8678749799728394
2023-01-25,7231.929483208147,2,0.99,-0.9381509840488433,1.0,1.0,-0.9577282667160034
2023-01-26,7202.387024404614,1,0.99,0.9912370058894158,1.0,1.0,-0.7525988221168518
2023-01-27,7112.805652525354,0,0.99,0.9904213419556618,1.0,1.0,-0.9157316088676453
2023-01-30,7203.444178863465,2,0.99,-0.8290793138742447,1.0,1.0,-0.8475548624992371
2023-01-31,7139.491031441124,2,0.99,-0.8958080071210861,1.0,1.0,-0.914957582950592
2023-02-01,7045.790975991691,2,0.99,-0.98,1.0,1.0,-1.0
2023-02-02,7105.291516180266,0,0.99,0.9915121585130692,1.0,1.0,-0.6975682973861694
2023-02-03,7062.229250248924,0,0.99,0.9904514729976654,1.0,1.0,-0.909705400466919
2023-02-06,7140.764328196111,2,0.99,-0.8430343163013458,1.0,1.0,-0.861650824546814
2023-02-07,7193.499578144755,0,0.99,0.9904118710756302,1.0,1.0,-0.9176257848739624
2023-02-08,7131.731613618523,0,0.99,0.991179204583168,1.0,1.0,-0.764159083366394
2023-02-09,7148.219544748734,1,0.99,0.9921797439455986,1.0,1.0,-0.5640512108802795
2023-02-10,7218.07102321956,2,0.99,-0.8831167328357696,1.0,1.0,-0.9021381139755249
2023-02-13,7207.477874963235,1,0.99,0.9907946050167084,1.0,1.0,-0.8410789966583252
2023-02-14,7230.662396704643,1,0.99,0.9900611555576324,1.0,1.0,-0.9877688884735107
2023-02-15,7132.094597206995,0,0.99,0.9900143247842789,1.0,1.0,-0.9971350431442261
2023-02-16,7114.440189271753,0,0.99,0.9919242879748345,1.0,1.0,-0.6151424050331116
2023-02-17,6972.859051954436,0,0.99,0.9903030380606651,1.0,1.0,-0.9393923878669739
2023-02-21,6963.329035261773,1,0.99,0.9922071543335914,1.0,1.0,-0.5585691332817078
2023-02-22,6986.941849794471,2,0.99,-0.8947845029830932,1.0,1.0,-0.9139237403869629
2023-02-23,7040.552491422336,0,0.99,0.9906179565191269,1.0,1.0,-0.8764086961746216
2023-02-24,7064.300495788843,1,0.99,0.9915109419822693,1.0,1.0,-0.6978116035461426
2023-02-27,7038.403803493348,0,0.99,0.9903233489394188,1.0,1.0,-0.9353302121162415
2023-02-28,7011.664704259191,0,0.99,0.9905329844355583,1.0,1.0,-0.8934031128883362
2023-03-01,7052.882212456762,2,0.99,-0.8346801149845123,1.0,1.0,-0.8532122373580933
2023-03-02,6957.5090285032575,2,0.99,-0.9708220386505126,1.0,1.0,-0.9907293319702148
2023-03-03,6939.1836500618,1,0.99,0.9905959996581077,1.0,1.0,-0.8808000683784485
2023-03-06,6833.815136490097,0,0.99,0.9904078644514084,1.0,1.0,-0.9184271097183228
2023-03-07,6844.8503294645425,1,0.99,0.9919256842136382,1.0,1.0,-0.6148631572723389
2023-03-08,6719.573926739844,0,0.99,0.9903481638431549,1.0,1.0,-0.9303672313690186
2023-03-09,6623.534424912397,0,0.99,0.9925689439475536,1.0,1.0,-0.48621121048927307
2023-03-10,6614.155606357128,1,0.99,0.9913350784778595,1.0,1.0,-0.7329843044281006
2023-03-13,6711.291672269087,2,0.99,-0.7095106041431427,1.0,1.0,-0.7267783880233765
2023-03-14,6729.667572058405,0,0.99,0.9900494524836541,1.0,1.0,-0.9901095032691956
2023-03-15,6835.503011595735,2,0.99,-0.6539308774471283,1.0,1.0,-0.6706372499465942
2023-03-16,6876.530435004238,0,0.99,0.99,1.0,1.0,-1.0
2023-03-17,6931.13895085252,2,0.99,-0.5879355430603027,1.0,1.0,-0.6039752960205078
2023-03-20,6874.913917384733,2,0.99,-0.98,1.0,1.0,-1.0
2023-03-21,6976.219951198426,0,0.99,0.99,1.0,1.0,-1.0
2023-03-22,6994.880123403343,1,0.99,0.9915367233753204,1.0,1.0,-0.6926553249359131
2023-03-23,7027.961200862905,2,0.99,-0.7856539422273636,1.0,1.0,-0.8036908507347107
2023-03-24,7005.1504412741615,1,0.99,0.990994223356247,1.0,1.0,-0.8011553287506104
2023-03-27,6989.561660220109,0,0.99,0.9900759637355805,1.0,1.0,-0.9848072528839111
2023-03-28,7076.739005935222,2,0.99,-0.9279775476455688,1.0,1.0,-0.9474520683288574
2023-03-29,7037.859884283829,2,0.99,-0.8676088011264801,1.0,1.0,-0.886473536491394
2023-03-30,6951.617132339207,2,0.99,-0.8421222794055938,1.0,1.0,-0.8607295751571655
2023-03-31,6928.965792578003,2,0.99,-0.8915750843286514,1.0,1.0,-0.9106819033622742
2023-04-03,6950.201998876383,0,0.99,0.9902674043178559,1.0,1.0,-0.946519136428833
2023-04-04,6932.17842029973,0,0.99,0.9907671427726745,1.0,1.0,-0.8465714454650879
2023-04-05,6945.7149416054335,2,0.99,-0.9215347528457641,1.0,1.0,-0.9409441947937012
2023-04-06,6925.863109991419,1,0.99,0.990794785618782,1.0,1.0,-0.8410428762435913
2023-04-10,6927.705758793089,1,0.99,0.9908875411748886,1.0,1.0,-0.8224917650222778
2023-04-11,6899.724264359486,0,0.99,0.9907313680648804,1.0,1.0,-0.8537263870239258
2023-04-12,6977.405920345884,2,0.99,-0.9101243782043457,1.0,1.0,-0.9294185638427734
2023-04-13,6979.658000364543,0,0.99,0.9902263426780701,1.0,1.0,-0.9547314643859863
2023-04-14,6990.7068125636515,2,0.99,-0.98,1.0,1.0,-1.0
2023-04-17,6972.4603511235955,1,0.99,0.9908883506059647,1.0,1.0,-0.8223298788070679
2023-04-18,6971.29300672249,1,0.99,0.9908223450183868,1.0,1.0,-0.8355309963226318
2023-04-19,6933.592301670672,0,0.99,0.99,1.0,1.0,-1.0
2023-04-20,6938.91742928935,1,0.99,0.9912084817886353,1.0,1.0,-0.7583036422729492
2023-04-21,6946.086620176032,1,0.99,0.9903941085934639,1.0,1.0,-0.9211782813072205
2023-04-24,6836.881915604207,0,0.99,0.99,1.0,1.0,-1.0
2023-04-25,6808.203767591119,0,0.99,0.9913310539722443,1.0,1.0,-0.7337892055511475
2023-04-26,6929.894002969253,2,0.99,-0.8702178663015365,1.0,1.0,-0.8891089558601379
2023-04-27,6877.661459796973,2,0.99,-0.98,1.0,1.0,-1.0
2023-04-28,6870.917955696126,1,0.99,0.9901605349779129,1.0,1.0,-0.9678930044174194
2023-05-01,6794.4530295364875,0,0.99,0.9902171900868416,1.0,1.0,-0.9565619826316833
2023-05-02,6748.263752663555,0,0.99,0.9914249935746193,1.0,1.0,-0.7150012850761414
2023-05-03,6700.873941980644,0,0.99,0.9909418088197708,1.0,1.0,-0.8116382360458374
2023-05-04,6812.027526858714,2,0.99,-0.7659264826774597,1.0,1.0,-0.783764123916626
2023-05-05,6798.675243240506,1,0.99,0.99,1.0,1.0,-1.0
2023-05-08,6769.157701630957,0,0.99,0.9900589117407799,1.0,1.0,-0.9882176518440247
2023-05-09,6787.915113242086,2,0.99,-0.8647805780172347,1.0,1.0,-0.8836167454719543
2023-05-10,6785.556106093655,1,0.99,0.9907963263988495,1.0,1.0,-0.8407347202301025
2023-05-11,6776.746808842595,1,0.99,0.990925961136818,1.0,1.0,-0.8148077726364136
